customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,churn_reason,churn_flag,active_flag,tenure_group,age_group,monthly_charge_band,customer_value_segment,service_count,protection_support_service_count,referral_group,contract_risk_group,descriptive_risk_points,descriptive_risk_segment,avg_revenue_per_tenure_month,customer_engagement_profile,predicted_churn_probability,high_risk_at_selected_threshold,flag_high_value_high_risk,flag_early_fiber,flag_early_month_to_month,flag_senior_high_charge,flag_fiber_month_to_month,flag_month_to_month_no_support,flag_san_diego,primary_intervention,intervention_priority,recommended_action,base_offer_cost
6705-LXORM,Female,79,No,Yes,Yes,No,0,United States,California,Perris,92570,33.787298,-117.320676,36817,Q3,Yes,1,5,Offer E,Yes,5.42,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,70.05,302.6,0.0,0,27.1,329.7,4,Stayed,No,24,2064,Not Applicable,Not Applicable,0,1,1–6 months,70+,$70–$89.99,Emerging Value,3,0,1–2 Referrals,Moderate Contract Risk,3,High,65.94,Advocate,0.6189846177293913,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
1297-VQDRP,Male,80,No,Yes,Yes,Yes,1,United States,California,Foothill Ranch,92610,33.698728,-117.67768,10936,Q3,No,0,68,Offer A,Yes,32.11,Yes,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Credit Card,107.15,7379.8,0.0,50,2183.48,9613.28,5,Stayed,No,66,4324,Not Applicable,Not Applicable,0,1,49–72 months,70+,$90+,Core Value,6,2,No Referrals,Moderate Contract Risk,2,Elevated,141.37,Protection Engaged,0.4544897778381731,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
2123-AGEEN,Female,66,No,Yes,No,No,0,United States,California,Millbrae,94030,37.601248,-122.403099,20350,Q3,No,0,7,Offer E,Yes,26.29,No,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,84.35,609.65,29.17,10,184.03,774.51,3,Stayed,No,38,2107,Not Applicable,Not Applicable,0,1,7–12 months,60–69,$70–$89.99,Emerging Value,4,1,No Referrals,Moderate Contract Risk,3,High,110.64,Basic Relationship,0.4498368196054423,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
1258-YMZNM,Female,70,No,Yes,No,No,0,United States,California,Montara,94037,37.540582,-122.509594,2346,Q3,No,0,27,Offer C,Yes,35.76,Yes,Yes,Fiber Optic,4,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.5,2857.6,0.0,0,965.52,3823.12,3,Stayed,No,56,4997,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,High Value,8,3,No Referrals,Moderate Contract Risk,3,High,141.6,Protection Engaged,0.3311240423240478,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
2858-EIMXH,Female,69,No,Yes,Yes,No,0,United States,California,Vallejo,94592,38.093701,-122.276589,159,Q3,Yes,1,53,No Offer,Yes,30.09,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,95.85,5016.25,18.85,0,1594.77,6592.17,3,Stayed,No,65,5325,Not Applicable,Not Applicable,0,1,49–72 months,60–69,$90+,High Value,5,0,1–2 Referrals,Moderate Contract Risk,3,High,124.38,Advocate,0.423606715207802,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
8242-SOQUO,Female,73,No,Yes,No,No,0,United States,California,Oakland,94619,37.787186,-122.14633,24518,Q3,No,0,5,Offer E,Yes,14.22,No,Yes,Fiber Optic,4,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,84.7,392.5,41.2,0,71.1,422.4,4,Stayed,No,54,2660,Not Applicable,Not Applicable,0,1,1–6 months,70+,$70–$89.99,Emerging Value,5,1,No Referrals,Moderate Contract Risk,3,High,84.48,Multi-Service,0.4471894162370954,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
6242-MBHPK,Female,67,No,Yes,Yes,No,0,United States,California,Hathaway Pines,95233,38.184914,-120.364085,335,Q3,Yes,1,23,No Offer,Yes,41.88,No,Yes,Fiber Optic,12,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,95.1,2326.05,0.0,0,963.24,3289.29,3,Stayed,No,66,4025,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$90+,Core Value,7,1,1–2 Referrals,Moderate Contract Risk,3,High,143.01,Advocate,0.5895118907341836,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
5461-QKNTN,Male,71,No,Yes,Yes,No,0,United States,California,Catheys Valley,95306,37.394411,-120.127262,986,Q3,Yes,1,43,No Offer,Yes,4.59,Yes,Yes,Fiber Optic,5,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,94.3,3953.15,0.0,0,197.37,4150.52,3,Stayed,No,63,2040,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,Emerging Value,6,2,1–2 Referrals,Moderate Contract Risk,2,Elevated,96.52,Advocate,0.4116198334935597,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
4468-KAZHE,Female,70,No,Yes,Yes,No,0,United States,California,Hughson,95326,37.5923,-120.853288,6822,Q3,Yes,1,20,No Offer,Yes,8.98,No,Yes,DSL,16,No,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,60.0,1259.35,0.0,0,179.6,1438.95,5,Stayed,No,37,2399,Not Applicable,Not Applicable,0,1,13–24 months,70+,$35–$69.99,Emerging Value,5,1,1–2 Referrals,Moderate Contract Risk,1,Lower,71.95,Advocate,0.3780613173105075,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
1251-STYSZ,Female,66,No,Yes,No,No,0,United States,California,Glenhaven,95443,39.045246,-122.743181,175,Q3,No,0,4,No Offer,Yes,8.75,Yes,Yes,Fiber Optic,4,Yes,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,80.25,303.7,0.0,30,35.0,368.7,4,Stayed,No,20,3828,Not Applicable,Not Applicable,0,1,1–6 months,60–69,$70–$89.99,Core Value,3,1,No Referrals,Moderate Contract Risk,3,High,92.18,Basic Relationship,0.3695206536836453,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
2692-BUCFV,Male,79,No,Yes,No,No,0,United States,California,Shingle Springs,95682,38.598936,-120.963092,24738,Q3,No,0,29,Offer C,Yes,6.59,No,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,101.45,2948.6,0.0,60,191.11,3199.71,4,Stayed,No,76,5285,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,High Value,6,2,No Referrals,Moderate Contract Risk,3,High,110.33,Protection Engaged,0.3220294217215511,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
8016-ZMGMO,Female,73,No,Yes,Yes,No,0,United States,California,Colusa,95932,39.273096,-122.050763,7503,Q3,No,0,66,No Offer,Yes,44.01,Yes,Yes,Cable,17,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,70.85,4738.85,0.0,0,2904.66,7643.51,5,Stayed,No,37,5572,Not Applicable,Not Applicable,0,1,49–72 months,70+,$70–$89.99,Premium Value,6,2,No Referrals,Moderate Contract Risk,1,Lower,115.81,Protection Engaged,0.3542555471597772,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
0481-SUMCB,Female,74,No,Yes,No,No,0,United States,California,Greenville,95947,40.160386,-120.835428,2064,Q3,No,0,45,Offer B,Yes,34.12,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,102.15,4735.35,0.0,0,1535.4,6270.75,4,Stayed,No,69,5391,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,Premium Value,6,1,No Referrals,Moderate Contract Risk,3,High,139.35,Multi-Service,0.3572539331874419,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
7789-HKSBS,Female,79,No,Yes,Yes,No,0,United States,California,Lakewood,90713,33.847755,-118.112532,27563,Q3,Yes,2,42,No Offer,Yes,35.38,Yes,Yes,Fiber Optic,7,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.2,4599.15,40.46,0,1485.96,6044.65,3,Stayed,No,36,5573,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,Premium Value,8,2,1–2 Referrals,Moderate Contract Risk,3,High,143.92,Advocate,0.3753838016943163,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
4832-VRBMR,Male,65,No,Yes,Yes,No,0,United States,California,Parker Dam,92267,34.273872,-114.192901,131,Q3,Yes,1,65,No Offer,Yes,16.65,Yes,Yes,Fiber Optic,5,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.15,6792.45,0.0,0,1082.25,7874.7,3,Stayed,No,51,6441,Not Applicable,Not Applicable,0,1,49–72 months,60–69,$90+,Premium Value,8,2,1–2 Referrals,Moderate Contract Risk,3,High,121.15,Advocate,0.4231804301709219,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
0380-NEAVX,Male,72,No,Yes,No,No,0,United States,California,Newport Beach,92660,33.634626,-117.874882,28687,Q3,No,0,34,No Offer,Yes,35.0,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,99.85,3343.15,0.0,0,1190.0,4533.15,5,Stayed,No,71,5626,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,Premium Value,7,2,No Referrals,Moderate Contract Risk,3,High,133.33,Protection Engaged,0.3329923254596255,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
1013-QCWAM,Female,73,No,Yes,Yes,No,0,United States,California,Garden Grove,92841,33.786738,-117.982564,31428,Q3,No,0,66,Offer A,Yes,28.06,Yes,Yes,Fiber Optic,20,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,100.8,6690.75,0.0,0,1851.96,8542.71,4,Stayed,No,32,5469,Not Applicable,Not Applicable,0,1,49–72 months,70+,$90+,Premium Value,6,1,No Referrals,Lower Contract Risk,3,High,129.43,Multi-Service,0.4482315830044438,True,True,False,False,True,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
4238-JSSWH,Female,70,No,Yes,Yes,No,0,United States,California,Porterville,93257,36.008958,-118.891593,65566,Q3,Yes,1,35,No Offer,Yes,45.13,Yes,Yes,Fiber Optic,10,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,102.05,3452.55,0.0,0,1579.55,5032.1,5,Stayed,No,35,3199,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,Emerging Value,7,1,1–2 Referrals,Lower Contract Risk,3,High,143.77,Advocate,0.347700561256679,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
6486-LHTMA,Female,67,No,Yes,Yes,No,0,United States,California,California City,93505,35.151491,-117.927597,8316,Q3,Yes,1,31,No Offer,Yes,44.26,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,90.7,2835.5,0.0,0,1372.06,4207.56,3,Stayed,No,34,2364,Not Applicable,Not Applicable,0,1,25–48 months,60–69,$90+,Emerging Value,5,1,1–2 Referrals,Moderate Contract Risk,3,High,135.73,Advocate,0.6370430685861169,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
5150-ITWWB,Male,65,No,Yes,No,No,0,United States,California,Hamilton City,95951,39.732767,-122.042298,1931,Q3,No,0,3,Offer E,Yes,37.78,Yes,Yes,Fiber Optic,28,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.85,335.75,0.0,0,113.34,449.09,4,Joined,No,40,4496,Not Applicable,Not Applicable,0,1,1–6 months,60–69,$90+,Core Value,6,0,No Referrals,Lower Contract Risk,4,Very High,149.7,Multi-Service,0.3921195529363552,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
9799-CAYJJ,Female,79,No,Yes,Yes,No,0,United States,California,West Hills,91307,34.199787,-118.68493,23637,Q3,Yes,1,2,Offer E,Yes,32.62,No,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,69.3,153.8,0.0,0,65.24,219.04,4,Joined,No,58,2901,Not Applicable,Not Applicable,0,1,1–6 months,70+,$35–$69.99,Emerging Value,3,0,1–2 Referrals,Lower Contract Risk,3,High,109.52,Advocate,0.4326783045024618,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
2880-FPNAE,Male,69,No,Yes,Yes,No,0,United States,California,Van Nuys,91405,34.202494,-118.448048,51348,Q3,Yes,1,2,Offer E,Yes,7.29,No,Yes,Fiber Optic,14,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.2,140.1,0.0,0,14.58,154.68,4,Joined,No,32,3170,Not Applicable,Not Applicable,0,1,1–6 months,60–69,$70–$89.99,Emerging Value,4,1,1–2 Referrals,Lower Contract Risk,3,High,77.34,Advocate,0.4409413656844704,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
9699-UBQFS,Female,76,No,Yes,Yes,No,0,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,Q3,Yes,4,43,No Offer,Yes,3.66,Yes,Yes,Fiber Optic,22,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,4156.8,0.0,0,157.38,4314.18,3,Stayed,No,32,4745,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,High Value,6,2,3–5 Referrals,Higher Contract Risk,4,Very High,100.33,Advocate,0.3435332441835703,True,True,False,False,True,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
1261-FWTTE,Male,78,No,Yes,No,No,0,United States,California,Los Angeles,90067,34.057496,-118.413959,2527,Q3,No,0,23,No Offer,No,0.0,No,Yes,Cable,2,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,34.65,768.45,0.0,0,0.0,768.45,4,Stayed,No,67,2307,Not Applicable,Not Applicable,0,1,13–24 months,70+,Under $35,Emerging Value,4,0,No Referrals,Higher Contract Risk,2,Elevated,33.41,Basic Relationship,0.5641514056469125,True,False,False,False,False,False,True,False,Support bundle and contract,6,Time-limited premium-support bundle with a longer-contract value option,45.0
3320-VEOYC,Male,65,No,Yes,No,No,0,United States,California,Beverly Hills,90210,34.099891,-118.414338,21397,Q3,No,0,14,No Offer,Yes,37.62,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,1273.3,0.0,0,526.68,1799.98,3,Stayed,No,78,3502,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$90+,Core Value,6,0,No Referrals,Higher Contract Risk,4,Very High,128.57,Multi-Service,0.8149731840546803,True,False,False,False,True,True,True,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
1360-JYXKQ,Female,68,No,Yes,Yes,No,0,United States,California,South Gate,90280,33.944624,-118.192615,96267,Q3,Yes,1,54,No Offer,Yes,22.05,No,Yes,Fiber Optic,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.1,5437.1,0.0,0,1190.7,6627.8,5,Stayed,No,54,4118,Not Applicable,Not Applicable,0,1,49–72 months,60–69,$90+,Core Value,8,2,1–2 Referrals,Moderate Contract Risk,2,Elevated,122.74,Advocate,0.3678879525727503,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
5995-SNNEW,Male,80,No,Yes,Yes,No,0,United States,California,Whittier,90605,33.960891,-118.032222,38181,Q3,Yes,1,23,No Offer,Yes,45.21,Yes,Yes,Fiber Optic,14,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.45,2184.85,0.0,60,1039.83,3284.68,5,Stayed,No,37,5883,Not Applicable,Not Applicable,0,1,13–24 months,70+,$90+,Premium Value,7,2,1–2 Referrals,Higher Contract Risk,4,Very High,142.81,Advocate,0.8971655429905482,True,True,False,False,True,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
4128-ETESU,Female,73,No,Yes,Yes,No,0,United States,California,Pasadena,91101,34.146635,-118.139225,16812,Q3,Yes,3,47,No Offer,Yes,2.98,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,99.7,4747.2,0.0,140,140.06,5027.26,3,Stayed,No,67,4787,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,High Value,6,1,3–5 Referrals,Higher Contract Risk,4,Very High,106.96,Advocate,0.6179228513814452,True,True,False,False,True,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
3295-YVUSR,Male,73,No,Yes,No,No,0,United States,California,Glendale,91202,34.167926,-118.267539,21990,Q3,No,0,2,No Offer,Yes,15.19,Yes,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,72.6,154.3,0.0,0,30.38,184.68,3,Joined,No,47,5098,Not Applicable,Not Applicable,0,1,1–6 months,70+,$70–$89.99,High Value,3,0,No Referrals,Higher Contract Risk,4,Very High,92.34,Basic Relationship,0.8105418281689994,True,True,True,True,False,True,True,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
8016-NCFVO,Male,70,No,Yes,No,No,0,United States,California,Glendale,91203,34.153338,-118.262974,14493,Q3,No,0,55,No Offer,Yes,29.3,Yes,Yes,Fiber Optic,10,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,116.5,6382.55,0.0,0,1611.5,7994.05,4,Stayed,No,58,4222,Not Applicable,Not Applicable,0,1,49–72 months,70+,$90+,Core Value,9,4,No Referrals,Higher Contract Risk,3,High,145.35,Protection Engaged,0.432281006092404,True,False,False,False,True,True,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
2080-CAZNM,Female,78,No,Yes,No,No,0,United States,California,Burbank,91502,34.177267,-118.31003,11517,Q3,No,0,41,Offer B,Yes,6.33,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.4,4133.95,0.0,0,259.53,4393.48,5,Stayed,No,61,4477,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,Core Value,7,2,No Referrals,Higher Contract Risk,4,Very High,107.16,Protection Engaged,0.6165816851981093,True,False,False,False,True,True,True,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
